rank,verbatim_factor,total_refs,transcripts,cross_case_factor,confidence,rationale
2197,cattle at water source,1,1,Community / Users,high,matched 'cattle'
2198,central committee/board,1,1,Community Management,high,matched 'committee'
2199,central control point,1,1,Infrastructure,low,token-overlap fallback (1)
2200,central government policy constraints,1,1,Govt Management,high,'government' over 'policy'
2201,central-level coordination,1,1,Coordination,high,matched 'coordinat'
2202,centralization of activities,1,1,Community / Users,low,no match — defaulted to Community / Users
2203,centralization of maintenance tools at regional level,1,1,O&M,high,matched 'maintenance'
2204,centralized cash handling,1,1,Community / Users,low,no match — defaulted to Community / Users
2205,centralized communal dumping site,1,1,Infrastructure,high,matched 'dumping site'
2206,centralized fund pooling,1,1,Govt / External Finance,low,token-overlap fallback (11)
2207,centralized management,1,1,O&M,low,token-overlap fallback (6)
2208,centralized resource management,1,1,O&M,low,token-overlap fallback (6)
2209,challenge discussion in meetings,1,1,Community / Users,low,no match — defaulted to Community / Users
2210,challenge identification,1,1,Community / Users,low,no match — defaulted to Community / Users
2211,challenge identification by water actors,1,1,Service Performance,low,token-overlap fallback (29)
2212,changing waste composition,1,1,Service Performance,low,token-overlap fallback (6)
2213,check-and-balance system,1,1,O&M,low,token-overlap fallback (2)
2214,chemical waste disposed in rivers,1,1,Service Performance,low,token-overlap fallback (6)
2215,child and animal safety at dump site,1,1,Infrastructure,high,'dump site' over 'child'
2216,child and maternal health,1,1,Community / Users,high,matched 'health'
2217,child health,1,1,Community / Users,high,matched 'health'
2218,child hygiene and sanitation practices,1,1,Community / Users,high,matched 'hygiene'
2219,childcare and family wellbeing,1,1,Community / Users,high,matched 'wellbeing'
2220,children's WASH education,1,1,Community / Users,high,matched 'education'
2221,children's health cases,1,1,Community / Users,high,matched 'children'
2222,cholera prevention,1,1,Community / Users,high,matched 'cholera'
2223,cholera/diarrheal disease,1,1,Community / Users,high,matched 'diarrhea'
2224,chrome chemical discharge from hide and skin factory,1,1,Community / Users,low,no match — defaulted to Community / Users
2225,church financial burden for latrine emptying,1,1,Infrastructure,high,matched 'latrine'
2226,church latrine maintenance,1,1,O&M,high,'maintenance' over 'latrine'
2227,church sanitation education,1,1,Capacity Building,high,'sanitation education' over 'education'
2228,city administration action,1,1,Govt Management,high,matched 'city administration'
2229,city administration awareness of sanitation,1,1,Govt Management,high,'city administration' over 'awareness'
2230,city administration budget allocation,1,1,Govt Management,high,'city administration' over 'budget'
2231,city administration compensation,1,1,Govt Management,high,matched 'city administration'
2232,city administration coordination,1,1,Govt Management,high,'city administration' over 'coordinat'
2233,city administration environmental study before construction,1,1,Govt Management,high,'city administration' over 'environmental'
2234,city administration involvement,1,1,Govt Management,high,matched 'city administration'
2235,city administration manpower assignment,1,1,Govt Management,high,matched 'city administration'
2236,city administration stakeholder engagement,1,1,Coordination,high,'stakeholder engagement' over 'city administration'
2237,city administrator participation in meetings,1,1,Community Management,high,matched 'participation'
2238,city dweller growth,1,1,Capacity Building,low,token-overlap fallback (7)
2239,city green area coordination,1,1,Coordination,high,matched 'coordinat'
2240,city greening and waste management,1,1,Service Performance,high,matched 'waste management'
2241,city growth and industrialization,1,1,Planning,high,matched 'city growth'
2242,city infrastructure planning,1,1,Infrastructure,high,'infrastructure' over 'planning'
2243,city planning standards,1,1,Planning,low,'planning' over 'standard'
2244,city sanitation plan,1,1,Planning,medium,matched 'plan'
2245,city sanitation planning and implementation,1,1,Infrastructure,high,'implementation' over 'planning'
2246,city sanitation quality,1,1,Service Performance,low,token-overlap fallback (15)
2247,city sanitation tasks,1,1,Service Performance,low,token-overlap fallback (12)
2248,city water consumption,1,1,Service Performance,low,token-overlap fallback (31)
2249,civil engineers and researchers involvement,1,1,Community Management,low,token-overlap fallback (2)
2250,clarity of institutional roles,1,1,Govt Management,low,token-overlap fallback (1)
2251,clarity on mandate for sanitation work,1,1,Laws + Regulations,high,matched 'mandate'
2252,clay soil conditions,1,1,Community / Users,low,no match — defaulted to Community / Users
2253,clean and safe living environment,1,1,Environmental,high,matched 'environment'
2254,clean drinking water access,1,1,Service Performance,high,matched 'drinking water'
2255,clean water,1,1,Service Performance,high,matched 'clean water'
2256,clean water maintenance,1,1,Service Performance,low,'clean water' over 'maintenance'
2257,clean water provision,1,1,Service Performance,high,matched 'water provis'
2258,clean water system maintenance,1,1,Service Performance,low,'clean water' over 'maintenance'
2259,clear financial procedures for tap water revenue,1,1,Community Finance,high,'revenue' over 'tap'
2260,clear handover criteria,1,1,Community / Users,low,no match — defaulted to Community / Users
2261,clear job descriptions for committee members,1,1,Community Management,high,matched 'committee'
2262,clear mandate assignment to sanitation actors,1,1,Laws + Regulations,high,matched 'mandate'
2263,clear mission to technical team,1,1,Capacity Building,low,token-overlap fallback (2)
2264,clear role assignment,1,1,Community / Users,low,no match — defaulted to Community / Users
2265,clear task assignment,1,1,Community / Users,low,no match — defaulted to Community / Users
2266,climate and environment consideration in budget allocation,1,1,Environmental,high,'environment' over 'budget'
2267,climate change / drought,1,1,Environmental,high,matched 'climate'
2268,climate change and drought,1,1,Environmental,high,matched 'climate'
2269,climate change impact mitigation,1,1,Environmental,high,matched 'climate'
2270,climate change impacts,1,1,Environmental,high,matched 'climate'
2271,climate variability,1,1,Environmental,high,matched 'climate'
2272,climate-appropriate equipment selection,1,1,Infrastructure,medium,'equipment' over 'election'
2273,close follow-up on short-term WASH projects,1,1,Monitoring,high,matched 'follow-up'
2274,clustering of rural water service providers,1,1,Private Sector,high,'water service provider' over 'water service'
2275,clustering of schemes,1,1,Community / Users,low,no match — defaulted to Community / Users
2276,cold climate,1,1,Environmental,high,matched 'climate'
2277,collaboration among organizations,1,1,Coordination,high,matched 'collaborat'
2278,collaboration with community leaders at kebele level,1,1,Coordination,medium,'collaborat' over 'community'
2279,collaborative action from private stakeholders and NGOs,1,1,Coordination,high,matched 'stakeholder'
2280,collaborative problem-solving,1,1,Coordination,high,matched 'collaborat'
2281,collaborative project implementation,1,1,Infrastructure,high,'project implementation' over 'collaborat'
2282,collaborative resource sharing,1,1,Coordination,high,matched 'collaborat'
2283,collaborative waste management with factories,1,1,Service Performance,high,'waste management' over 'collaborat'
2284,collective action on water sustainability,1,1,Sustainability,high,matched 'water sustainability'
2285,collective knowledge and resources for problem-solving,1,1,Service Performance,low,token-overlap fallback (1)
2286,collective knowledge and resources for waste management,1,1,Service Performance,high,matched 'waste management'
2287,collective planning among sector offices,1,1,Planning,high,matched 'planning'
2288,combined NGO resources,1,1,Coordination,medium,matched 'ngo'
2289,combined capacity building and infrastructure investment,1,1,Infrastructure,medium,'infrastructure' over 'capacity build'
2290,combined resource utilization,1,1,Govt / External Finance,low,token-overlap fallback (3)
2291,commercial water losses,1,1,Private Sector,high,matched 'commercial'
2292,commitment among concerned bodies,1,1,Politics,low,token-overlap fallback (1)
2293,commitment from administrators and WASH stream committee,1,1,Community Management,high,matched 'committee'
2294,commitment from frontline experts and decision makers,1,1,Govt Management,high,matched 'expert'
2295,commitment from water office,1,1,Service Performance,low,token-overlap fallback (29)
2296,commitment to managing water schemes,1,1,Service Performance,low,token-overlap fallback (29)
2297,commitment to regular meetings and monitoring,1,1,Monitoring,high,matched 'monitoring'
2298,commitment to sanitation goals,1,1,Service Performance,low,token-overlap fallback (10)
2299,commitment to scale community water initiatives,1,1,Community / Users,high,matched 'community'
2300,committed leadership,1,1,Govt Management,high,matched 'leadership'
2301,committee ability to fund repairs,1,1,Community Management,high,'committee' over 'repair'
2302,committee activity,1,1,Community Management,high,matched 'committee'
2303,committee advisory and guidance,1,1,Community Management,high,matched 'committee'
2304,committee and project efficiency,1,1,Community Management,high,matched 'committee'
2305,committee and staff training,1,1,Community Management,medium,'committee' over 'training'
2306,committee bank accounts,1,1,Community Management,high,matched 'committee'
2307,committee budgeting and business planning capacity,1,1,Community Management,medium,'committee' over 'planning'
2308,committee clustering,1,1,Community Management,high,matched 'committee'
2309,committee clustering (PMCs),1,1,Community Management,high,matched 'committee'
2310,committee compliance with training,1,1,Laws + Regulations,low,'compliance' over 'committee'
2311,committee continuity,1,1,Community Management,high,matched 'committee'
2312,committee corruption,1,1,Govt Management,medium,'corruption' over 'committee'
2313,committee earnings from community,1,1,Community Management,medium,'committee' over 'community'
2314,committee establishment,1,1,Community Management,high,matched 'committee'
2315,committee financial governance,1,1,Govt Management,medium,'governance' over 'committee'
2316,committee financial interests (self-dealing),1,1,Community Management,high,matched 'committee'
2317,committee financial reporting,1,1,Community Management,medium,'committee' over 'reporting'
2318,committee financial transparency,1,1,Community Finance,high,'financial transparency' over 'committee'
2319,committee functionality,1,1,Service Performance,high,'functionality' over 'committee'
2320,committee fund accountability,1,1,Community Management,medium,'committee' over 'accountab'
2321,committee fund banking practices,1,1,Community Management,high,matched 'committee'
2322,committee fund depletion,1,1,Community Management,high,matched 'committee'
2323,committee fund embezzlement,1,1,Community Management,high,matched 'committee'
2324,committee governance structure,1,1,Govt Management,medium,'governance' over 'committee'
2325,committee harmony,1,1,Community Management,high,matched 'committee'
2326,committee instability,1,1,Community Management,high,matched 'committee'
2327,committee knowledge of O&M,1,1,Community Management,high,'committee' over 'o&m'
2328,committee legitimacy,1,1,Community Management,high,matched 'committee'
2329,committee management of latrines,1,1,Community Management,medium,'committee' over 'latrine'
2330,committee management training,1,1,Community Management,medium,'committee' over 'training'
2331,committee member selection criteria,1,1,Community Management,medium,'committee' over 'election'
2332,committee member transition procedures,1,1,Community Management,high,matched 'committee'
2333,committee member turnover,1,1,Community Management,medium,'committee' over 'turnover'
2334,committee oversight and phase reporting,1,1,Community Management,medium,'committee' over 'oversight'
2335,committee politicking,1,1,Community Management,medium,'committee' over 'politic'
2336,committee removal,1,1,Community Management,high,matched 'committee'
2337,committee role separation,1,1,Community Management,high,matched 'committee'
2338,committee savings,1,1,Community Management,high,'committee' over 'savings'
2339,committee skill acquisition,1,1,Community Management,high,matched 'committee'
2340,committee support and monitoring,1,1,Monitoring,low,'monitoring' over 'committee'
2341,committee term limits,1,1,Community Management,high,matched 'committee'
2342,committee training and registration,1,1,Capacity Building,high,'committee training' over 'committee'
2343,committee training gap,1,1,Capacity Building,high,'committee training' over 'committee'
2344,committee training on operation and maintenance,1,1,O&M,high,'operation and maintenance' over 'committee training'
2345,committee training on procurement and record keeping,1,1,Capacity Building,high,'committee training' over 'record keeping'
2346,committee transparency,1,1,Community Finance,medium,'transparen' over 'committee'
2347,committee transparency and accountability,1,1,Community Finance,medium,'transparen' over 'committee'
2348,committee utility management,1,1,O&M,high,'utility management' over 'committee'
2349,common meeting sessions,1,1,Community / Users,low,no match — defaulted to Community / Users
2350,common plans and regular meeting schedule,1,1,Community / Users,low,no match — defaulted to Community / Users
2351,common plans and strategies,1,1,Community / Users,low,no match — defaulted to Community / Users
2352,common water fund management,1,1,Service Performance,low,token-overlap fallback (30)
2353,common water sustainability plans,1,1,Sustainability,high,matched 'water sustainability'
2354,communal latrine cleanliness,1,1,Community / Users,high,'cleanliness' over 'latrine'
2355,communal latrine construction viability,1,1,Infrastructure,high,matched 'construction'
2356,communal latrine functionality,1,1,Service Performance,high,'functionality' over 'latrine'
2357,communal latrine maintenance,1,1,O&M,high,'maintenance' over 'latrine'
2358,communal latrine quantity,1,1,Infrastructure,high,matched 'latrine'
2359,communal latrines in public and slum areas,1,1,Infrastructure,medium,'latrine' over 'public'
2360,communal waste disposal place,1,1,Community / Users,low,token-overlap fallback (11)
2361,communicable and non-communicable disease prevalence,1,1,Community / Users,high,matched 'disease'
2362,communicable disease outbreak,1,1,Community / Users,high,matched 'outbreak'
2363,communication channels through formal and informal institutions,1,1,Capacity Building,low,token-overlap fallback (2)
2364,communication network,1,1,Capacity Building,low,token-overlap fallback (2)
2365,community ability to pay,1,1,Community Finance,high,'ability to pay' over 'community'
2366,community ability to run facilities,1,1,Infrastructure,medium,'facilities' over 'community'
2367,community ability to run water schemes sustainably,1,1,Sustainability,medium,'sustainab' over 'community'
2368,community acceptance of Whave,1,1,Community / Users,high,'community acceptance' over 'whave'
2369,community acceptance of waste disposal site,1,1,Community / Users,high,'community acceptance' over 'disposal site'
2370,community acceptance of waste disposal sites,1,1,Community / Users,high,'community acceptance' over 'disposal site'
2371,community acceptance of water resource persons,1,1,Community / Users,high,'community acceptance' over 'water resource'
2372,community access to project benefits,1,1,Community / Users,high,matched 'community'
2373,community access to spare parts,1,1,O&M,high,'spare part' over 'community'
2374,community access to supply towns,1,1,Community / Users,high,matched 'community'
2375,community access to water containers,1,1,Service Performance,high,'access to water' over 'community'
2376,community access to water points,1,1,Service Performance,high,'access to water' over 'water point'
2377,community accountability demand,1,1,Community / Users,low,'community' over 'accountab'
2378,community action planning,1,1,Community / Users,medium,'community' over 'planning'
2379,community active engagement,1,1,Community / Users,high,matched 'community'
2380,community adaptation to weather shocks,1,1,Community / Users,medium,'community' over 'weather'
2381,community adherence to maintenance guidelines,1,1,O&M,high,'maintenance' over 'community'
2382,community adherence to maintenance schedules,1,1,O&M,high,'maintenance' over 'community'
2383,community adoption of practices,1,1,Community / Users,high,matched 'community'
2384,community adoption of water practices,1,1,Community / Users,high,matched 'community'
2385,community affordability of diesel,1,1,Community / Users,medium,'community' over 'affordab'
2386,community affordability of running and maintenance cost,1,1,O&M,high,'maintenance' over 'community'
2387,community alignment,1,1,Community / Users,high,matched 'community'
2388,community and government supervision of water services,1,1,Service Performance,high,'water service' over 'supervision'
2389,community and investor financial contributions,1,1,Community / Users,medium,'community' over 'investor'
2390,community and kebele leader support,1,1,Community / Users,high,matched 'community'
2391,community and leadership attitude toward sanitation,1,1,Govt Management,medium,'leadership' over 'community'
2392,community and school WASH service,1,1,Community / Users,high,matched 'community'
2393,community and stakeholder participation,1,1,Coordination,high,'stakeholder participation' over 'participation'
2394,community and stakeholder support for water service,1,1,Service Performance,high,'water service' over 'stakeholder'
2395,community associations' finance and savings,1,1,Community / Users,medium,'community' over 'savings'
2396,community attitudes toward hygiene and sanitation,1,1,Community / Users,high,matched 'community attitude'
2397,community attitudes toward waste management,1,1,Community / Users,medium,'community attitude' over 'waste management'
2398,community awareness activities,1,1,Community / Users,high,matched 'awareness'
2399,community awareness and capacity building,1,1,Capacity Building,high,'capacity build' over 'awareness'
2400,community awareness and sense of belongingness,1,1,Community / Users,high,matched 'awareness'
2401,community awareness and sense of ownership,1,1,Community Management,high,'sense of ownership' over 'awareness'
2402,community awareness building program,1,1,Community / Users,high,matched 'awareness'
2403,community awareness campaign on waste management,1,1,Capacity Building,medium,'awareness campaign' over 'waste management'
2404,community awareness campaigns at woreda level,1,1,Capacity Building,high,'awareness campaign' over 'awareness'
2405,community awareness change,1,1,Community / Users,high,matched 'awareness'
2406,community awareness creation programs,1,1,Capacity Building,high,'awareness creation' over 'awareness'
2407,community awareness creation schemes,1,1,Capacity Building,high,'awareness creation' over 'awareness'
2408,community awareness enhancement campaign,1,1,Community / Users,high,matched 'awareness'
2409,community awareness in sanitation management,1,1,Community / Users,high,matched 'awareness'
2410,community awareness level,1,1,Community / Users,high,matched 'awareness'
2411,community awareness of cleanliness benefits,1,1,Community / Users,high,matched 'cleanliness'
2412,community awareness of consequences of lacking clean water,1,1,Service Performance,high,'clean water' over 'awareness'
2413,community awareness of fluoride side effects,1,1,Community / Users,high,matched 'awareness'
2414,community awareness of health benefits of latrines,1,1,Community / Users,medium,'awareness' over 'latrine'
2415,community awareness of microenterprise waste services,1,1,Private Sector,medium,'enterprise' over 'awareness'
2416,community awareness of ownership responsibility,1,1,Community Management,medium,'ownership' over 'awareness'
2417,community awareness of poor sanitation effects,1,1,Community / Users,high,matched 'awareness'
2418,community awareness of project ownership,1,1,Community Management,medium,'ownership' over 'awareness'
2419,community awareness of rights and obligations,1,1,Community / Users,high,matched 'awareness'
2420,community awareness of sanitation,1,1,Community / Users,high,matched 'awareness'
2421,community awareness of sanitation as income source,1,1,Community / Users,high,'awareness' over 'income'
2422,community awareness of sanitation consequences,1,1,Community / Users,high,matched 'awareness'
2423,community awareness of sustainability challenges,1,1,Sustainability,medium,'sustainab' over 'awareness'
2424,community awareness of waste management,1,1,Service Performance,high,'waste management' over 'awareness'
2425,community awareness of water treatment chemicals,1,1,Service Performance,high,'water treatment' over 'awareness'
2426,community awareness on clean water values and water-borne diseases,1,1,Service Performance,medium,'clean water' over 'water-borne'
2427,community awareness on component replacement needs,1,1,Community / Users,high,matched 'awareness'
2428,community awareness on efficient water use,1,1,Community / Users,high,matched 'awareness'
2429,community awareness on environmental protection,1,1,Environmental,high,'environmental' over 'awareness'
2430,community awareness on importance of participation,1,1,Community Management,high,'participation' over 'awareness'
2431,community awareness on operation and management of water schemes,1,1,Community / Users,high,matched 'awareness'
2432,community awareness on proper use of water facilities,1,1,Infrastructure,medium,'facilities' over 'proper use'
2433,community awareness on proper utilization,1,1,Community / Users,high,matched 'proper utilization'
2434,community awareness on proper water scheme use,1,1,Community / Users,high,matched 'awareness'
2435,community awareness on proper water service use,1,1,Service Performance,high,'water service' over 'awareness'
2436,community awareness on proper water use,1,1,Community / Users,high,matched 'awareness'
2437,community awareness on sanitation and hygiene,1,1,Community / Users,high,matched 'sanitation and hygiene'
2438,community awareness on sanitation norms,1,1,Community / Users,high,matched 'awareness'
2439,community awareness on scheme use,1,1,Community / Users,high,matched 'awareness'
2440,community awareness on solid waste management,1,1,Service Performance,high,'waste management' over 'awareness'
2441,community awareness on water facility use,1,1,Community / Users,low,'awareness' over 'facility'
2442,community awareness on water management,1,1,Community / Users,high,matched 'awareness'
2443,community awareness on water resource management,1,1,Environmental,high,'water resource' over 'awareness'
2444,community awareness on water scheme management,1,1,O&M,high,'water scheme management' over 'awareness'
2445,community awareness on water scheme use and management,1,1,Community / Users,high,matched 'awareness'
2446,community awareness on water scheme utilization,1,1,Community / Users,high,matched 'awareness'
2447,community awareness on water schemes,1,1,Community / Users,high,matched 'awareness'
2448,community bank account for water revenue,1,1,Community / Users,medium,'community' over 'revenue'
2449,community baraza and stakeholder engagement,1,1,Coordination,high,'stakeholder engagement' over 'community'
2450,community based organizations,1,1,Community / Users,high,matched 'community'
2451,community behavioral change,1,1,Community / Users,high,matched 'community behavior'
2452,community benefit from programs,1,1,Community / Users,high,matched 'community'
2453,community brought to common platform,1,1,Community / Users,medium,'community' over 'platform'
2454,community byelaws,1,1,Community / Users,high,matched 'community'
2455,community capacity building for water storage,1,1,Capacity Building,low,'capacity build' over 'water storage'
2456,community capacity for self-management,1,1,Community / Users,high,matched 'community'
2457,community capacity for water management,1,1,Community / Users,high,matched 'community'
2458,community capacity on O&M,1,1,Community / Users,high,'community' over 'o&m'
2459,community capacity to manage facilities,1,1,Infrastructure,medium,'facilities' over 'community'
2460,community capital,1,1,Community / Users,high,matched 'community'
2461,community care about infrastructure,1,1,Infrastructure,high,'infrastructure' over 'community'
2462,community care and management of water facilities,1,1,Infrastructure,medium,'facilities' over 'community'
2463,community carelessness,1,1,Community / Users,high,matched 'community'
2464,community cash collection,1,1,Community / Users,high,matched 'community'
2465,community cash collection for maintenance,1,1,O&M,high,'maintenance' over 'community'
2466,community cash management burden,1,1,Community / Users,high,matched 'community'
2467,community catchment management capacity,1,1,Environmental,medium,'catchment' over 'community'
2468,community change on sanitation,1,1,Community / Users,high,matched 'community'
2469,community chemical water treatment,1,1,Service Performance,high,'water treatment' over 'community'
2470,community committee management,1,1,Community Management,medium,'committee' over 'community'
2471,community compliance with documentation requirements,1,1,Laws + Regulations,medium,'compliance' over 'community'
2472,community compliance with water source management,1,1,Laws + Regulations,medium,'compliance' over 'community'
2473,community concentration,1,1,Community / Users,high,matched 'community'
2474,community confidence in water officers,1,1,Community / Users,medium,'community' over 'officer'
2475,community confidence in water supply,1,1,Service Performance,high,'water supply' over 'community'
2476,community conflicts,1,1,Community / Users,high,matched 'community conflict'
2477,community consultation,1,1,Community / Users,high,matched 'community'
2478,community consultation in ditch design,1,1,Community / Users,high,'community' over 'design'
2479,community consultation in pre-development study,1,1,Community / Users,high,'community' over 'study'
2480,community consultation in site selection,1,1,Planning,high,'site selection' over 'community'
2481,community contribution amounts,1,1,Community Finance,high,'community contribution' over 'community'
2482,community contribution model,1,1,Community Finance,high,'community contribution' over 'community'
2483,community control of water projects,1,1,Community / Users,high,matched 'community'
2484,community coordination and accountability,1,1,Coordination,low,'coordinat' over 'community'
2485,community cost sharing responsibility,1,1,Community / Users,high,matched 'community'
2486,community culture and indigenous knowledge,1,1,Community / Users,high,matched 'community'
2487,community culture of using water infrastructure,1,1,Infrastructure,high,'infrastructure' over 'community'
2488,community damage reporting,1,1,Community / Users,low,'community' over 'reporting'
2489,community demand for water service solutions,1,1,Community / Users,medium,'community demand' over 'water service'
2490,community dependence on external funding for maintenance,1,1,Community / Users,high,'community dependence' over 'external funding'
2491,community dependency on government support,1,1,Govt / External Finance,high,'government support' over 'government'
2492,community development and maintenance of natural springs,1,1,O&M,high,'maintenance' over 'community'
2493,community development officer facilitation,1,1,Community / Users,medium,'community' over 'officer'
2494,community disagreement on WaSHCO membership,1,1,Community / Users,high,'community' over 'washco'
2495,community documentation,1,1,Community / Users,high,matched 'community'
2496,community donations,1,1,Community / Users,high,matched 'community'
2497,community economic empowerment,1,1,Community / Users,medium,'community' over 'economic'
2498,community economic status,1,1,Community / Users,medium,'community' over 'economic'
2499,community education and training,1,1,Capacity Building,high,'community education' over 'community'
2500,community education level,1,1,Capacity Building,high,'community education' over 'community'
2501,community education on waste disposal,1,1,Capacity Building,high,'community education' over 'community'
2502,community education on water scheme maintenance,1,1,Capacity Building,high,'community education' over 'maintenance'
2503,community education on water scheme use,1,1,Capacity Building,high,'community education' over 'community'
2504,community education on water service,1,1,Capacity Building,high,'community education' over 'water service'
2505,community effort to protect water sources,1,1,Community / Users,high,matched 'community'
2506,community engagement and public relations,1,1,Community Management,high,'community engagement' over 'community'
2507,community engagement from design stage,1,1,Community Management,high,'community engagement' over 'community'
2508,community engagement in WASH,1,1,Community Management,high,'community engagement' over 'community'
2509,community engagement in construction,1,1,Community Management,high,'community engagement' over 'construction'
2510,community engagement in planning,1,1,Community Management,high,'community engagement' over 'community'
2511,community engagement in sanitation projects,1,1,Community Management,high,'community engagement' over 'community'
2512,community engagement in waste collection business,1,1,Community Management,high,'community engagement' over 'waste collect'
2513,community engagement in water facility management,1,1,Community Management,medium,'community engagement' over 'facility management'
2514,community engagement in water project design,1,1,Community Management,high,'community engagement' over 'project design'
2515,community engagement in water scheme development,1,1,Community Management,medium,'community engagement' over 'scheme development'
2516,community engagement in water system,1,1,Community Management,high,'community engagement' over 'community'
2517,community engagement practice,1,1,Community Management,high,'community engagement' over 'community'
2518,community enlightenment on good governance,1,1,Govt Management,medium,'governance' over 'community'
2519,community expectation of free water,1,1,Community / Users,high,matched 'community'
2520,community expertise,1,1,Community / Users,high,'community' over 'expert'
2521,community fault reporting reach,1,1,Community / Users,low,'community' over 'reporting'
2522,community financial accountability,1,1,Community Finance,high,'community financial' over 'community'
2523,community financial accountability burden,1,1,Community Finance,high,'community financial' over 'community'
2524,community financial capacity,1,1,Community Finance,medium,'community financial' over 'financial capacity'
2525,community financial contributions for maintenance,1,1,Community Finance,high,'community financial' over 'maintenance'
2526,community financial contributions to WASH committee,1,1,Community Finance,high,'community financial' over 'wash committee'
2527,community financial management capacity,1,1,Community Finance,high,'community financial' over 'community'
2528,community financial oversight,1,1,Community Finance,high,'community financial' over 'community'
2529,community financial reserves,1,1,Community Finance,high,'community financial' over 'community'
2530,community financial resources,1,1,Community Finance,medium,'community financial' over 'financial resource'
2531,community fund mobilization,1,1,Community Finance,high,'community fund' over 'community'
2532,community funds,1,1,Community Finance,high,'community fund' over 'community'
2533,community governance skills,1,1,Govt Management,medium,'governance' over 'community'
2534,community group management of public toilets,1,1,Community / Users,high,'community' over 'toilet'
2535,community guidance capacity,1,1,Community / Users,high,matched 'community'
2536,community guidance on technology selection,1,1,Infrastructure,medium,'technology' over 'community'
2537,community habit of calling waste collection associations,1,1,Service Performance,high,'waste collect' over 'community'
2538,community handover management model,1,1,Community / Users,high,matched 'community'
2539,community handover without sustainability model,1,1,Sustainability,medium,'sustainab' over 'community'
2540,community health and sanitation,1,1,Community / Users,high,matched 'community'
2541,community health condition,1,1,Community / Users,high,matched 'community'
2542,community health impact,1,1,Community / Users,high,matched 'community'
2543,community health outcomes,1,1,Community / Users,high,matched 'community'
2544,community hygiene and sanitation practices,1,1,Community / Users,high,matched 'community'
2545,community hygiene awareness,1,1,Community / Users,high,matched 'awareness'
2546,community hygiene behavior,1,1,Community / Users,high,matched 'community'
2547,community implementation of sanitation training,1,1,Infrastructure,high,'implementation' over 'community'
2548,community inclusion in research and planning,1,1,Community / Users,medium,'community' over 'planning'
2549,community income flows,1,1,Community / Users,high,'community' over 'income'
2550,community indigenous knowledge,1,1,Community / Users,high,matched 'community'
2551,community infrastructure protection,1,1,Infrastructure,high,'infrastructure' over 'community'
2552,community initiation,1,1,Community / Users,high,matched 'community'
2553,community initiative to build water sources,1,1,Community / Users,high,matched 'community'
2554,community input in project prioritization,1,1,Planning,high,'prioritization' over 'community'
2555,community input through barazas,1,1,Community / Users,high,matched 'community'
2556,community interest alignment,1,1,Community / Users,high,matched 'community'
2557,community interest in contributing,1,1,Community / Users,high,matched 'community'
2558,community interest in latrine use,1,1,Community / Users,medium,'community' over 'latrine'
2559,community involvement,1,1,Community Management,high,'community involvement' over 'community'
2560,community involvement from project start,1,1,Community Management,high,'community involvement' over 'community'
2561,community involvement in O&M,1,1,Community Management,high,'community involvement' over 'community'
2562,community involvement in construction,1,1,Community Management,high,'community involvement' over 'construction'
2563,community involvement in development of water facilities,1,1,Community Management,high,'community involvement' over 'facilities'
2564,community involvement in project decision-making,1,1,Community Management,high,'community involvement' over 'decision-making'
2565,community involvement in project design and implementation,1,1,Community Management,high,'community involvement' over 'implementation'
2566,community involvement in project development,1,1,Community Management,high,'community involvement' over 'community'
2567,community involvement in project planning,1,1,Community Management,high,'community involvement' over 'community'
2568,community involvement in project process,1,1,Community Management,high,'community involvement' over 'community'
2569,community involvement in scheme operations,1,1,Community Management,high,'community involvement' over 'scheme operation'
2570,community involvement in water project design,1,1,Community Management,high,'community involvement' over 'project design'
2571,community involvement in water projects,1,1,Community Management,high,'community involvement' over 'community'
2572,community knowledge about WASH,1,1,Community / Users,high,matched 'community knowledge'
2573,community knowledge of proper latrine construction,1,1,Community / Users,high,'community knowledge' over 'construction'
2574,community knowledge of system operation,1,1,Community / Users,high,'community knowledge' over 'system operation'
2575,community knowledge retention,1,1,Community / Users,high,'community knowledge' over 'retention'
2576,community labor and finance contributions,1,1,Community / Users,medium,'community' over 'finance'
2577,community labor and financial contributions,1,1,Community / Users,high,matched 'community'
2578,community labor mobilization,1,1,Community / Users,medium,'community' over 'mobiliz'
2579,community lack of initiative,1,1,Community / Users,high,matched 'community'
2580,community latrine construction,1,1,Infrastructure,high,'construction' over 'community'
2581,community linkage to government at project handover,1,1,Govt Management,medium,'government' over 'community'
2582,community livestock use of water schemes,1,1,Community / Users,high,matched 'community'
2583,community living conditions,1,1,Community / Users,high,matched 'community'
2584,community local knowledge,1,1,Community / Users,high,matched 'community'
2585,community maintenance fee burden,1,1,Community Finance,high,'maintenance fee' over 'maintenance'
2586,community maintenance fee payment,1,1,Community Finance,high,'maintenance fee' over 'maintenance'
2587,community maintenance fee stress,1,1,Community Finance,high,'maintenance fee' over 'maintenance'
2588,community maintenance of existing water schemes,1,1,O&M,high,'maintenance' over 'community'
2589,community management,1,1,Community Management,high,'community management' over 'community'
2590,community management accountability,1,1,Community Management,high,'community management' over 'community'
2591,community management committee expertise,1,1,Community Management,high,'management committee' over 'community'
2592,community management committee performance,1,1,Community Management,high,'management committee' over 'community'
2593,community management failure,1,1,Community Management,high,'community management' over 'community'
2594,community management model,1,1,Community Management,high,'community management' over 'community'
