factor,bucket,confidence,rationale,total_refs
County Water Act,Service Performance,low,token-overlap fallback (29),1
EIA sector monitoring of industries,Monitoring,high,matched 'monitoring',1
Environmental Protection Sector presence at city level,Environmental,high,matched 'environmental',1
First Impact Methodology training,Capacity Building,high,matched 'training',1
Fundfix model,Community / Users,low,no match — defaulted to Community / Users,1
FundiFix adoption,Community / Users,low,no match — defaulted to Community / Users,1
FundiFix integration before NGO exit,Coordination,high,matched 'integration',1
FundiFix network expansion,Infrastructure,high,matched 'expansion',1
FundiFix rapid failure response,Service Performance,low,token-overlap fallback (1),1
FundiFix response time,Service Performance,high,matched 'response time',1
FundiFix spare parts access,O&M,high,matched 'spare part',1
Fundifix community reporting system,Monitoring,high,'reporting system' over 'community',1
Fundifix doing rehabilitation,O&M,high,matched 'rehabilitat',1
Fundifix financial autonomy,Govt / External Finance,low,token-overlap fallback (8),1
Fundifix funding,Govt / External Finance,high,matched 'funding',1
Fundifix geographic coverage,Service Performance,low,'coverage' over 'geograph',1
Fundifix maintenance liability,O&M,high,matched 'maintenance',1
GO-NGO coordination,Coordination,high,matched 'coordinat',1
IRC WASH advocacy,Community Management,low,token-overlap fallback (2),1
IRC partnership,Coordination,high,matched 'partnership',1
Jinka University,Community / Users,low,no match — defaulted to Community / Users,1
KEWI technical training,Capacity Building,high,matched 'training',1
KIWASH performance improvement plan,Planning,medium,matched 'plan',1
KIWASH program,Community / Users,low,no match — defaulted to Community / Users,1
KIWASH program extension,Community / Users,low,no match — defaulted to Community / Users,1
Learning Alliance,Coordination,high,matched 'learning alliance',1
Learning Alliance participation,Coordination,high,'learning alliance' over 'participation',1
M&E facilitation funding,Govt / External Finance,high,'funding' over 'm&e',1
MCA-county officer role agreement,Govt Management,high,matched 'officer',1
MHM facilities in latrines,Infrastructure,high,matched 'facilities',1
MPESA paybill fund access,Govt / External Finance,low,token-overlap fallback (11),1
Mazegaja sector planning,Planning,high,matched 'planning',1
Ministry of Water oversight,Monitoring,high,matched 'oversight',1
NGO alignment with county vision,Coordination,medium,matched 'ngo',1
NGO and bilateral organization involvement,Coordination,medium,matched 'ngo',1
NGO and donor funding,Govt / External Finance,high,'funding' over 'ngo',1
NGO and government intervention,Govt Management,high,'government intervention' over 'ngo',1
NGO and partner contributions,Coordination,medium,matched 'ngo',1
NGO and private sector involvement,Private Sector,high,'private sector' over 'ngo',1
NGO and stakeholder collaboration,Coordination,high,matched 'stakeholder',1
NGO and water office coordination,Coordination,high,matched 'coordinat',1
NGO awareness campaigns,Capacity Building,high,'awareness campaign' over 'awareness',1
NGO budget,Govt / External Finance,high,'budget' over 'ngo',1
NGO collaboration with community mobilization unit,Capacity Building,high,'community mobiliz' over 'collaborat',1
NGO commitment to community education,Capacity Building,high,'community education' over 'community',1
NGO consultation with regional water bureau,Coordination,medium,matched 'ngo',1
NGO cooperation,Coordination,high,matched 'cooperation',1
NGO cooperation in materials and spare parts,Coordination,low,'cooperation' over 'spare part',1
NGO coordination and reporting,Coordination,low,'coordinat' over 'reporting',1
NGO deployment of technical experts,Govt Management,high,'expert' over 'ngo',1
NGO direct construction of water schemes,Infrastructure,high,'construction' over 'ngo',1
NGO donor accountability,Monitoring,high,'accountab' over 'donor',1
NGO emergency focus,Coordination,medium,matched 'ngo',1
NGO engagement in urban water development,Coordination,medium,matched 'ngo',1
NGO engagement in water and sanitation,Coordination,medium,matched 'ngo',1
NGO financial and technical support,Capacity Building,high,'technical support' over 'ngo',1
NGO financial support,Govt / External Finance,high,'financial support' over 'ngo',1
NGO funding proposals,Govt / External Finance,high,'ngo funding' over 'ngo',1
NGO geographic dispersion,Environmental,high,'geograph' over 'ngo',1
NGO investment in water projects,Govt / External Finance,high,'investment' over 'ngo',1
NGO involvement,Coordination,medium,matched 'ngo',1
NGO involvement of woreda water office in project implementation,Infrastructure,high,'project implementation' over 'woreda',1
NGO linkage to local institutions,Coordination,medium,matched 'ngo',1
NGO material and equipment support,Infrastructure,high,'equipment' over 'ngo',1
NGO material transport for water schemes,Infrastructure,high,'transport' over 'ngo',1
NGO mobilization,Capacity Building,high,'mobiliz' over 'ngo',1
NGO participation,Community Management,high,'participation' over 'ngo',1
NGO participation in coordination meetings,Community Management,high,'participation' over 'coordinat',1
NGO participation in water projects,Community Management,high,'participation' over 'ngo',1
NGO partnership,Coordination,high,matched 'partnership',1
NGO presence,Coordination,medium,matched 'ngo',1
NGO program alignment,Coordination,medium,matched 'ngo',1
NGO project fit,Coordination,medium,matched 'ngo',1
NGO project implementation quality,Infrastructure,high,'project implementation' over 'ngo',1
NGO project withdrawal,Coordination,medium,matched 'ngo',1
NGO technical and financial support,Govt / External Finance,high,'financial support' over 'ngo',1
NGO-community coordination,Coordination,low,'coordinat' over 'community',1
NGO-provided training for associations,Capacity Building,high,'training' over 'ngo',1
NGO-regional government relationship,Govt Management,high,'government' over 'ngo',1
NGO-water office coordination,Coordination,high,matched 'coordinat',1
NGO/partner support,Coordination,medium,matched 'ngo',1
O&M cost recovery,Community Finance,high,'cost recovery' over 'o&m',1
O&M costs,O&M,medium,matched 'o&m',1
O&M equipment availability,Infrastructure,high,'equipment' over 'o&m',1
O&M funding,Govt / External Finance,high,'funding' over 'o&m',1
O&M planning at project inception,Planning,high,'planning' over 'o&m',1
O&M revenue,Community Finance,high,'revenue' over 'o&m',1
O&M service coverage,Service Performance,high,'service coverage' over 'o&m',1
O&M skills,O&M,medium,matched 'o&m',1
O&M training,Capacity Building,high,'training' over 'o&m',1
ODF kebele creation,Capacity Building,low,token-overlap fallback (1),1
ODF program targets,Community / Users,low,no match — defaulted to Community / Users,1
One-WASH program performance,Community Management,low,token-overlap fallback (2),1
PCPD programs,Community / Users,low,no match — defaulted to Community / Users,1
PIC compensation,Community / Users,low,no match — defaulted to Community / Users,1
PVCA methodology,Community / Users,low,no match — defaulted to Community / Users,1
RRU coverage area,Service Performance,high,matched 'coverage',1
Red Cross spare parts provision,O&M,high,matched 'spare part',1
Regional Water Bureau geological studies,Planning,high,matched 'studies',1
SLTS program,Community / Users,low,no match — defaulted to Community / Users,1
Symbiosis approach implementation,Infrastructure,high,matched 'implementation',1
TVET graduate hiring,Community / Users,low,no match — defaulted to Community / Users,1
TVET invitation for capacity development,Capacity Building,high,matched 'capacity development',1
TVET sector participation,Community Management,high,matched 'participation',1
TVET-water sector coordination,Coordination,high,matched 'coordinat',1
Tanathi funding,Govt / External Finance,high,matched 'funding',1
Trade sector license enforcement,Laws + Regulations,high,matched 'enforcement',1
Transform WASH program implementation,Infrastructure,high,matched 'implementation',1
Urban Sanitation Committee,Community Management,high,matched 'committee',1
WASH Coordination Office geological study,Coordination,high,'coordinat' over 'study',1
WASH Forum networking,Coordination,high,matched 'networking',1
WASH Forum partnership,Coordination,high,matched 'partnership',1
WASH Forums,Coordination,high,matched 'wash forum',1
WASH activity execution,Community Management,low,token-overlap fallback (2),1
WASH activity implementation,Infrastructure,high,matched 'implementation',1
WASH actor coordination,Coordination,high,matched 'coordinat',1
WASH and livelihood service progress,Community / Users,high,matched 'livelihood',1
WASH awareness,Community / Users,high,matched 'awareness',1
WASH awareness campaign through media,Capacity Building,high,'awareness campaign' over 'awareness',1
WASH budget allocation,Govt / External Finance,high,matched 'budget',1
WASH cluster coordination,Coordination,high,matched 'coordinat',1
WASH cluster coordination office,Coordination,high,matched 'coordinat',1
WASH committee awareness,Community Management,high,'wash committee' over 'awareness',1
WASH committee chair workload,Community Management,high,matched 'wash committee',1
WASH committee coordination,Community Management,high,'wash committee' over 'coordinat',1
WASH committee institutionalization,Community Management,high,matched 'wash committee',1
WASH committee maintenance self-sufficiency,Community Management,high,'wash committee' over 'maintenance',1
WASH committee management capacity,Community Management,high,matched 'wash committee',1
WASH committee mandate clarity,Community Management,high,'wash committee' over 'mandate',1
WASH committee performance,Community Management,high,matched 'wash committee',1
WASH committee practical exposure,Community Management,high,matched 'wash committee',1
WASH committee quarterly performance evaluation,Community Management,high,'wash committee' over 'evaluation',1
WASH committee restructuring,Community Management,high,matched 'wash committee',1
WASH committee support,Community Management,high,matched 'wash committee',1
WASH committee training,Capacity Building,high,'committee training' over 'wash committee',1
WASH community worker empowerment,Community / Users,high,matched 'community',1
WASH coordination effectiveness,Coordination,high,matched 'coordinat',1
WASH coordination framework,Coordination,high,matched 'coordinat',1
WASH coordination office autonomy,Coordination,high,matched 'coordinat',1
WASH coordination office dependency on regional water bureau,Coordination,high,matched 'coordinat',1
WASH coordination office effectiveness,Coordination,high,matched 'coordinat',1
WASH coordination office management,Coordination,high,matched 'coordinat',1
WASH coordinator,Coordination,high,matched 'coordinat',1
WASH coordinator support,Coordination,high,matched 'coordinat',1
WASH enterprise business management approach,Private Sector,high,matched 'enterprise',1
WASH facility functionality in schools and health facilities,Service Performance,high,'functionality' over 'facilities',1
WASH facility utilization,Infrastructure,high,matched 'facility',1
WASH financial resources,Govt / External Finance,high,matched 'financial resource',1
WASH forum best practice sharing,Coordination,high,matched 'wash forum',1
WASH forum information sharing,Coordination,high,matched 'information sharing',1
WASH forum networking,Coordination,high,matched 'networking',1
WASH forum partnerships,Coordination,high,matched 'partnership',1
WASH forum presentations,Coordination,high,matched 'wash forum',1
WASH forum training,Coordination,medium,'wash forum' over 'training',1
WASH forum training and briefing,Coordination,medium,'wash forum' over 'training',1
WASH knowledge sharing,Coordination,high,matched 'knowledge sharing',1
WASH management capacity,Community Management,low,token-overlap fallback (7),1
WASH participation,Community Management,high,matched 'participation',1
WASH plan implementation,Planning,high,'plan implementation' over 'implementation',1
WASH planning and execution,Planning,high,matched 'planning',1
WASH problem alleviation,Community Management,low,token-overlap fallback (2),1
WASH program implementation,Infrastructure,high,matched 'implementation',1
WASH program institutionalization,Community Management,low,token-overlap fallback (2),1
WASH program outreach to all residents,Capacity Building,low,'outreach' over 'resident',1
WASH program recognition as major national program,Community Management,low,token-overlap fallback (2),1
WASH program strength,Community Management,low,token-overlap fallback (2),1
WASH program sustainability,Sustainability,high,matched 'sustainab',1
WASH project completion,Planning,low,token-overlap fallback (7),1
WASH project effectiveness,Planning,low,token-overlap fallback (7),1
WASH resource access,Service Performance,low,token-overlap fallback (7),1
WASH sector attention,Coordination,low,token-overlap fallback (5),1
WASH sector capacity,Govt Management,high,matched 'sector capacity',1
WASH sector effectiveness,Coordination,low,token-overlap fallback (5),1
WASH sector problem solving,Coordination,low,token-overlap fallback (5),1
WASH service continuity,Service Performance,high,matched 'service continu',1
WASH service improvement,Service Performance,high,matched 'service improv',1
WASH service outcomes,Service Performance,low,token-overlap fallback (17),1
WASH service problem solving,Service Performance,low,token-overlap fallback (18),1
WASH service quality,Service Performance,high,matched 'service quality',1
WASH service self-sufficiency,Service Performance,low,token-overlap fallback (17),1
WASH stakeholder capacity,Coordination,high,matched 'stakeholder',1
WASH stakeholder engagement in sanitation,Coordination,high,matched 'stakeholder engagement',1
WASH stakeholder focus on infrastructure construction,Infrastructure,high,'infrastructure' over 'stakeholder',1
WASH stakeholder inclusion of awareness creation in strategic plans,Capacity Building,high,'awareness creation' over 'stakeholder',1
WASH stakeholder leadership,Coordination,medium,'stakeholder' over 'leadership',1
WASH stream committee commitment,Community Management,high,matched 'committee',1
WASH stream committee engagement,Community Management,high,matched 'committee',1
WASH system integration,Coordination,high,matched 'integration',1
WASHCO bylaws,Community Management,high,matched 'washco',1
WASHCO capacity,Community Management,high,matched 'washco',1
WASHCO empowerment,Community Management,high,matched 'washco',1
WASHCO establishment,Community Management,high,matched 'washco',1
WASHCO financial management,Community Management,high,matched 'washco',1
WASHCO financing and incentives,Govt / External Finance,low,'financing' over 'incentive',1
WASHCO functionality,Service Performance,high,'functionality' over 'washco',1
WASHCO revenue,Community Finance,medium,'revenue' over 'washco',1
WASHCO technical capacity,Community Management,high,matched 'washco',1
WASHCo financial accountability,Community Finance,high,'financial accountab' over 'accountab',1
WASHCo financial transparency,Community Finance,high,'financial transparency' over 'washco',1
WASHCo functional capacity,Service Performance,high,'functional' over 'washco',1
WASHCo maintenance capability,O&M,high,'maintenance' over 'washco',1
WASHCo maintenance tools,O&M,high,'maintenance' over 'washco',1
WASHCo management capacity,Community Management,high,matched 'washco',1
WASHCo monitoring by authorities,Monitoring,high,'monitoring' over 'washco',1
WASHCo peer learning visits,Community Management,high,matched 'washco',1
WASHCo technical capacity,Community Management,high,matched 'washco',1
WASHCo technical training on maintenance,O&M,high,'maintenance' over 'training',1
WASHCo training,Capacity Building,medium,'training' over 'washco',1
WASHco capacity,Community Management,high,matched 'washco',1
WASHco capacity building,Capacity Building,high,'capacity build' over 'washco',1
WASHco effectiveness,Community Management,high,matched 'washco',1
WASHco hand tools,Community Management,high,matched 'washco',1
WASHco monitoring capacity,Monitoring,high,'monitoring' over 'washco',1
WASHco refreshment training,Capacity Building,medium,'training' over 'washco',1
WASHco technical skills,Community Management,high,matched 'washco',1
WASHco training,Capacity Building,medium,'training' over 'washco',1
WASHco training and capacity building,Capacity Building,high,'capacity build' over 'washco',1
WASHco training and supplies,Capacity Building,medium,'training' over 'washco',1
WASHcos commitment and follow-up,Monitoring,high,'follow-up' over 'washco',1
WASHcos training,Capacity Building,medium,'training' over 'washco',1
WASHcos transformation to water user associations,Community Management,high,'water user association' over 'user',1
WASREB management models,O&M,low,token-overlap fallback (6),1
WASREB regulatory linkage,Laws + Regulations,high,matched 'regulatory',1
WRUA formation,Coordination,low,token-overlap fallback (1),1
WRUA funding,Govt / External Finance,high,matched 'funding',1
WRUA programs,Community / Users,low,no match — defaulted to Community / Users,1
WSC training,Capacity Building,high,matched 'training',1
WSP asset development,Infrastructure,low,token-overlap fallback (3),1
WSP authority to develop assets,Infrastructure,low,token-overlap fallback (3),1
WSP capacity,Capacity Building,low,token-overlap fallback (7),1
WSP capacity building,Capacity Building,high,matched 'capacity build',1
WSP dependence on Tanathi and county,Govt Management,low,token-overlap fallback (3),1
WSP financial burden,Govt / External Finance,low,token-overlap fallback (8),1
WSP governance adherence,Govt Management,high,matched 'governance',1
WSP institutional and financial capacity,Govt / External Finance,high,matched 'financial capacity',1
WSP institutional capacity,Govt Management,high,matched 'institutional capacity',1
WSP management,O&M,low,token-overlap fallback (6),1
WSP operational independence,O&M,low,token-overlap fallback (1),1
WSP performance visibility,Service Performance,low,token-overlap fallback (1),1
WSP scheme transition,Infrastructure,low,token-overlap fallback (4),1
WSP service delivery capacity,Service Performance,high,matched 'service deliver',1
WSP-community scheme partnership,Coordination,high,'partnership' over 'community',1
WaSHCO capacity building,Capacity Building,high,'capacity build' over 'washco',1
WaSHCO discharge of responsibilities,Community Management,high,matched 'washco',1
WaSHCO effectiveness,Community Management,high,matched 'washco',1
WaSHCO functionality,Service Performance,high,'functionality' over 'washco',1
WaSHCO functioning,Service Performance,high,'functioning' over 'washco',1
WaSHCO legitimacy,Community Management,high,matched 'washco',1
WaSHCO member training,Capacity Building,medium,'training' over 'washco',1
WaSHCO operational sustainability,Sustainability,high,'sustainab' over 'washco',1
WaSHCo fee collection,Community Finance,high,'fee collection' over 'washco',1
WaSHCo financial sustainability,Sustainability,high,'sustainab' over 'washco',1
WaSHCo member capacity,Community Management,high,matched 'washco',1
WaSHCo performance,Community Management,high,matched 'washco',1
WaSHCo training and material,Capacity Building,medium,'training' over 'washco',1
WaSHCo training capacity,Capacity Building,medium,'training' over 'washco',1
WaSHCo training initiative,Capacity Building,medium,'training' over 'washco',1
Water ATM initial cost,Service Performance,low,token-overlap fallback (29),1
Water Act 2002 mandate restriction,Laws + Regulations,high,matched 'mandate',1
Water Act 2002 tariff structure,Community Finance,high,matched 'tariff',1
Water Act 2016,Service Performance,low,token-overlap fallback (29),1
Water Sector Trust Fund support,Service Performance,low,token-overlap fallback (29),1
Water Unions,Service Performance,low,token-overlap fallback (29),1
Whave Solutions intervention,Private Sector,medium,matched 'whave',1
Whave Solutions maintenance approach,O&M,high,'maintenance' over 'whave',1
Whave collaboration with water pump mechanics and WUC,Coordination,medium,'collaborat' over 'mechanic',1
Whave service contract,Private Sector,medium,matched 'whave',1
Whave service suspension,Private Sector,medium,matched 'whave',1
World Bank and municipality budget,Govt Management,high,'municipal' over 'budget',1
World Bank feedback discussions on implementation procedures,Infrastructure,high,matched 'implementation',1
World Bank financed water supply expansion,Service Performance,high,'water supply' over 'expansion',1
World Bank funding,Govt / External Finance,high,matched 'funding',1
World Bank oversight and advice,Monitoring,high,matched 'oversight',1
World Bank procurement guidelines,Private Sector,medium,'procurement' over 'guideline',1
World Bank programs and funds,Community / Users,low,no match — defaulted to Community / Users,1
World Bank project management quality,Planning,high,matched 'project management',1
World Bank waste disposal programs,Community / Users,low,token-overlap fallback (11),1
abattoir service provision,Service Performance,high,matched 'service provis',1
ability to address sanitation and hygiene,Community / Users,high,matched 'sanitation and hygiene',1
ability to charge cost-recovery water tariff,Community Finance,high,matched 'cost-recovery',1
ability to employ trained staff,Govt Management,medium,matched 'staff',1
ability to operate complex systems,Sustainability,low,token-overlap fallback (9),1
ability to pay for water services,Community Finance,low,'ability to pay' over 'water service',1
ability to pay operational staff,Community Finance,high,'ability to pay' over 'staff',1
ability to repair project breakdowns,Service Performance,high,'breakdown' over 'repair',1
absence of rural water companies,Private Sector,high,matched 'companies',1
abstraction compliance,Laws + Regulations,high,matched 'compliance',1
abstraction monitoring,Monitoring,high,matched 'monitoring',1
abstraction record keeping,Monitoring,high,matched 'record keeping',1
abstraction volume data,Monitoring,medium,matched 'data',1
acceptance of scheme water sources,Service Performance,low,token-overlap fallback (29),1
access for unserved populations,Community / Users,high,matched 'population',1
access to basic needs,Service Performance,low,token-overlap fallback (7),1
access to clean drinking water,Service Performance,high,matched 'access to clean',1
access to credit,Service Performance,low,token-overlap fallback (7),1
access to credit from county government,Govt Management,high,matched 'government',1
access to drinking water,Service Performance,high,matched 'drinking water',1
access to health and adult education services,Community / Users,high,matched 'education',1
access to health and education services,Community / Users,high,matched 'education',1
access to large water containers,Service Performance,low,token-overlap fallback (36),1
access to multiple services for pastoralists,Service Performance,low,token-overlap fallback (7),1
access to natural fertilizers,Service Performance,low,token-overlap fallback (7),1
access to raw materials,Service Performance,low,token-overlap fallback (7),1
access to rural kebeles,Service Performance,low,token-overlap fallback (7),1
access to sanitation materials,Service Performance,low,token-overlap fallback (17),1
access to services,Service Performance,low,token-overlap fallback (7),1
access to spare parts and repair services,O&M,high,matched 'spare part',1
access to spare parts in rural areas,O&M,high,matched 'spare part',1
access to specialized technicians,O&M,high,matched 'technician',1
access to toolkits,Service Performance,low,token-overlap fallback (7),1
access to water,Service Performance,high,matched 'access to water',1
access to water and sanitation services,Service Performance,high,matched 'water and sanitation service',1
access to water in saline areas,Service Performance,high,matched 'access to water',1
"access to water, health, education services",Service Performance,high,'access to water' over 'education',1
access to wells and springs,Environmental,high,matched 'spring',1
accessibility for health posts and community,Community / Users,high,matched 'community',1
accountability and check-and-balance systems,Monitoring,high,matched 'accountab',1
accountability and transparency,Community Finance,medium,'transparen' over 'accountab',1
accountability for accomplishments in WASH committee meetings,Community Management,high,'wash committee' over 'accountab',1
accountability for liquid waste management,Service Performance,high,'waste management' over 'accountab',1
accountability for task completion,Monitoring,high,matched 'accountab',1
accountability mechanism,Monitoring,high,matched 'accountab',1
accountability of government and NGOs,Govt Management,medium,'government' over 'accountab',1
accountability of water scheme managers,Monitoring,high,matched 'accountab',1
accountability of water user committees,Community Management,high,'water user committee' over 'accountab',1
accountability system,Monitoring,high,matched 'accountab',1
accountability to community,Community / Users,low,'community' over 'accountab',1
accountability to sub-county water office,Govt Management,medium,'sub-county' over 'accountab',1
accountable body for sanitation,Monitoring,high,matched 'accountab',1
accuracy of monitoring reports,Monitoring,high,matched 'monitoring',1
accurate community information,Community / Users,high,matched 'community',1
accurate maintenance diagnosis,O&M,high,matched 'maintenance',1
action plan evaluation,Monitoring,high,'evaluation' over 'plan',1
active WASH committees,Community Management,high,matched 'wash committee',1
active management committees with bank accounts,Community Management,high,matched 'management committee',1
activity prioritization,Planning,high,matched 'prioritization',1
actor accountability for sanitation,Monitoring,high,matched 'accountab',1
actor availability,Monitoring,low,token-overlap fallback (1),1
actor capacity to intervene,Capacity Building,low,token-overlap fallback (7),1
actor coordination,Coordination,high,matched 'coordinat',1
actor coordination in water and sanitation,Coordination,high,matched 'coordinat',1
actor information for intervention,Govt Management,low,token-overlap fallback (1),1
actual engagement in infrastructure development,Infrastructure,high,matched 'infrastructure',1
ad hoc committee management,Community Management,high,matched 'committee',1
ad hoc committee water management capacity,Community Management,high,matched 'committee',1
adaptive intervention planning,Planning,high,matched 'planning',1
additional financial support,Govt / External Finance,high,matched 'financial support',1
additional funding,Govt / External Finance,high,matched 'funding',1
additional income,Community Finance,high,matched 'income',1
additional latrines,Infrastructure,high,matched 'latrine',1
additional waste collection trucks,Service Performance,high,matched 'waste collect',1
additional water scheme development,Infrastructure,high,matched 'scheme development',1
additional water source development,Infrastructure,high,matched 'water source development',1
additional water sources,Service Performance,low,token-overlap fallback (29),1
additional water tank construction,Infrastructure,high,matched 'construction',1
additional water tanks,Service Performance,low,token-overlap fallback (29),1
addressing community priorities,Community / Users,high,matched 'community',1
addressing real water problems,Service Performance,low,token-overlap fallback (29),1
addressing soft components of sustainability,Sustainability,high,matched 'sustainab',1
adequate and skilled staff,Govt Management,medium,matched 'staff',1
adequate budget,Govt / External Finance,high,matched 'budget',1
adequate government budget,Govt / External Finance,high,'government budget' over 'government',1
adequate maintenance equipment at zonal level,O&M,high,'maintenance' over 'equipment',1
adequate manpower,Govt Management,high,matched 'manpower',1
adequate research on water potential areas,Service Performance,low,token-overlap fallback (29),1
adequate staffing,Govt Management,high,matched 'staffing',1
adequate trained technicians,O&M,high,matched 'technician',1
adequate waste disposal infrastructure,Infrastructure,high,matched 'infrastructure',1
adherence to construction standards,Infrastructure,high,'construction' over 'standard',1
adherence to contract implementation standards,Infrastructure,high,'implementation' over 'standard',1
adherence to coordination plans,Coordination,high,matched 'coordinat',1
adherence to implementation standards,Infrastructure,high,'implementation' over 'standard',1
adherence to project designs,Planning,high,matched 'project design',1
adherence to service standards,Laws + Regulations,high,matched 'standard',1
adherence to standard designs,Laws + Regulations,medium,'standard' over 'design',1
adherence to standardized designs,Laws + Regulations,medium,'standard' over 'design',1
administration monitoring and follow-up,Govt Management,high,'administration' over 'monitoring',1
administrative and institutional support,Govt Management,high,matched 'administrative',1
administrative attention to WASH stream committee,Govt Management,high,'administrative' over 'committee',1
administrative attention to water supply,Govt Management,medium,'administrative' over 'water supply',1
administrative evaluation of implementation,Infrastructure,medium,'implementation' over 'administrative',1
administrative monitoring of management committees,Community Management,high,'management committee' over 'administrative',1
administrator awareness of community problems,Community / Users,high,matched 'awareness',1
administrator commitment to grassroots engagement,Coordination,low,token-overlap fallback (2),1
adoption of new rural scheme models,Infrastructure,low,token-overlap fallback (4),1
adoption of sanitation practices as culture,Community / Users,high,matched 'culture',1
advisory support capacity,Capacity Building,low,token-overlap fallback (8),1
advocacy to regional government,Govt Management,high,matched 'government',1
affordability of preventive maintenance services,O&M,high,'maintenance' over 'affordab',1
affordable waste dumping service,Community Finance,high,matched 'affordab',1
aggregate community contributions,Community Finance,high,'community contribution' over 'community',1
aging infrastructure,Infrastructure,high,matched 'infrastructure',1
aging water infrastructure,Infrastructure,high,matched 'infrastructure',1
aging water pumps,Service Performance,low,token-overlap fallback (29),1
agricultural and cleaning water reuse,Community / Users,high,matched 'cultural',1
agricultural and industrial production inputs,Community / Users,high,matched 'cultural',1
agricultural outcomes,Community / Users,high,matched 'cultural',1
agro-pastoralist lifestyle,Community / Users,high,matched 'lifestyle',1
air pollution,Environmental,high,matched 'pollution',1
alignment of interventions with county priorities,Govt Management,low,token-overlap fallback (3),1
alignment with county strategic direction,Planning,high,matched 'strategic',1
alignment with government strategy,Govt Management,high,'government' over 'strategy',1
allocated dumping site,Infrastructure,high,matched 'dumping site',1
alternative dumping site identification,Infrastructure,high,matched 'dumping site',1
alternative plans for water service,Service Performance,high,matched 'water service',1
alternative power supply,Infrastructure,high,matched 'power supply',1
alternative site selection,Planning,high,'site selection' over 'election',1
alternative waste disposal area,Community / Users,low,token-overlap fallback (11),1
alternative water source planning,Planning,high,matched 'planning',1
"alternative water sources (deep well, etc.)",Infrastructure,medium,matched 'well',1
animal farming for business,Private Sector,medium,'business' over 'farming',1
annual budget allocation for waste infrastructure,Infrastructure,high,'infrastructure' over 'budget',1
annual budget for education,Community / Users,high,'education' over 'budget',1
annual coordination forums,Coordination,high,matched 'coordinat',1
annual savings,Community Finance,high,matched 'savings',1
application of water treatment chemicals,Service Performance,high,matched 'water treatment',1
appropriate capital budget,Govt / External Finance,high,matched 'budget',1
appropriate machinery selection,Infrastructure,medium,'machinery' over 'election',1
appropriate master plan,Planning,high,matched 'master plan',1
appropriate project choice,Planning,low,token-overlap fallback (7),1
appropriate project selection,Politics,high,matched 'election',1
appropriate resource use,Govt / External Finance,low,token-overlap fallback (3),1
appropriate sanitation infrastructure,Infrastructure,high,matched 'infrastructure',1
appropriate service delivery,Service Performance,high,matched 'service deliver',1
appropriate technology adoption,Infrastructure,high,matched 'technology',1
appropriate technology training,Infrastructure,high,'technology' over 'training',1
appropriate trainee identification,Community / Users,low,no match — defaulted to Community / Users,1
appropriate waste treatment,Infrastructure,high,matched 'waste treatment',1
appropriate water project siting,Planning,high,matched 'siting',1
appropriate water scheme design,Planning,high,matched 'design',1
appropriateness of project designs,Planning,high,matched 'project design',1
aquifer recharge rates,Environmental,high,matched 'aquifer',1
area contamination,Community / Users,high,matched 'contaminat',1
area sanitation,Service Performance,low,token-overlap fallback (10),1
area sanitation service,Service Performance,high,matched 'sanitation service',1
arid and semi-arid climate,Environmental,high,matched 'climate',1
arid and semi-arid land conditions,Laws + Regulations,low,token-overlap fallback (6),1
arid climate conditions,Environmental,high,matched 'climate',1
arid land conditions,Laws + Regulations,low,token-overlap fallback (6),1
arid/desert agro ecology,Community / Users,low,no match — defaulted to Community / Users,1
assessment quality,Planning,high,matched 'assessment',1
asset and equipment replacement,Infrastructure,high,matched 'equipment',1
asset collateral,Community / Users,low,no match — defaulted to Community / Users,1
asset inventory,Community / Users,low,no match — defaulted to Community / Users,1
asset replacement planning,Planning,high,matched 'planning',1
asset transfer restrictions,Infrastructure,low,token-overlap fallback (1),1
assigned cleaning workers,Community / Users,low,no match — defaulted to Community / Users,1
assistant director's office financial support,Govt / External Finance,high,matched 'financial support',1
association and staff capacity,Govt Management,medium,matched 'staff',1
assumption of no legal accountability for donor-funded projects,Monitoring,high,'accountab' over 'donor',1
attention to maintenance of existing water wells,O&M,high,matched 'maintenance',1
attention to sanitation issue,Service Performance,low,token-overlap fallback (10),1
attention to sanitation tasks,Service Performance,low,token-overlap fallback (10),1
attitude change in institutional staff,Govt Management,medium,matched 'staff',1
attitude problem in society,Community / Users,low,token-overlap fallback (2),1
attitude problem of government bodies,Govt Management,high,matched 'government',1
attitude toward waste management,Service Performance,high,matched 'waste management',1
attitudinal change in people,Capacity Building,low,token-overlap fallback (2),1
authority boundary clarity,Community / Users,low,no match — defaulted to Community / Users,1
authority understanding of problems,Community / Users,low,token-overlap fallback (1),1
authorization and permit compliance by water service providers,Private Sector,high,'water service provider' over 'water service',1
automated water payment systems,Community Finance,high,matched 'payment',1
autonomous board administration,Govt Management,high,matched 'administration',1
autonomous water board,Service Performance,low,token-overlap fallback (29),1
autonomous water service provider,Private Sector,high,'water service provider' over 'water service',1
availability of alternative packaging materials,Monitoring,low,token-overlap fallback (1),1
availability of electronic devices,Monitoring,low,token-overlap fallback (1),1
availability of latrine door,Infrastructure,high,matched 'latrine',1
availability of waste collection sites and sanitary materials,Service Performance,high,matched 'waste collect',1
available funding,Govt / External Finance,high,matched 'funding',1
awareness about value of water,Community / Users,high,matched 'awareness',1
